sys:1: DtypeWarning: Columns (8,9,10,11,12,43,157,196,214,225,228,229,231,235,238) have mixed types. Specify dtype option on import or set low_memory=False.
sys:1: DtypeWarning: Columns (8,9,10,11,12,43,157,167,177,196,214,225,228,229,231,235,238) have mixed types. Specify dtype option on import or set low_memory=False.
/home/ubuntu/anaconda/lib/python2.7/site-packages/numpy/lib/arraysetops.py:200: FutureWarning: numpy not_equal will not check object identity in the future. The comparison did not return the same result as suggested by the identity (`is`)) and will change.
  flag = np.concatenate(([True], aux[1:] != aux[:-1]))
Will train until validation_0 error hasn't decreased in 20 rounds.
[0]	validation_0-auc:0.654642
[1]	validation_0-auc:0.703328
[2]	validation_0-auc:0.732925
[3]	validation_0-auc:0.740631
[4]	validation_0-auc:0.744996
[5]	validation_0-auc:0.751574
[6]	validation_0-auc:0.753824
[7]	validation_0-auc:0.758487
[8]	validation_0-auc:0.760939
[9]	validation_0-auc:0.764810
[10]	validation_0-auc:0.766645
[11]	validation_0-auc:0.769311
[12]	validation_0-auc:0.770232
[13]	validation_0-auc:0.772443
[14]	validation_0-auc:0.774460
[15]	validation_0-auc:0.774896
[16]	validation_0-auc:0.776162
[17]	validation_0-auc:0.776010
[18]	validation_0-auc:0.776255
[19]	validation_0-auc:0.777300
[20]	validation_0-auc:0.778232
[21]	validation_0-auc:0.779197
[22]	validation_0-auc:0.780092
[23]	validation_0-auc:0.781014
[24]	validation_0-auc:0.781497
[25]	validation_0-auc:0.781961
[26]	validation_0-auc:0.781892
[27]	validation_0-auc:0.781979
[28]	validation_0-auc:0.782543
[29]	validation_0-auc:0.781967
[30]	validation_0-auc:0.782324
[31]	validation_0-auc:0.782428
[32]	validation_0-auc:0.782395
[33]	validation_0-auc:0.782544
[34]	validation_0-auc:0.782793
[35]	validation_0-auc:0.782653
[36]	validation_0-auc:0.782996
[37]	validation_0-auc:0.783454
[38]	validation_0-auc:0.783153
[39]	validation_0-auc:0.783611
[40]	validation_0-auc:0.783630
[41]	validation_0-auc:0.783961
[42]	validation_0-auc:0.784273
[43]	validation_0-auc:0.784292
[44]	validation_0-auc:0.784943
[45]	validation_0-auc:0.785155
[46]	validation_0-auc:0.785195
[47]	validation_0-auc:0.785479
[48]	validation_0-auc:0.785547
[49]	validation_0-auc:0.785804
[50]	validation_0-auc:0.785983
[51]	validation_0-auc:0.786258
[52]	validation_0-auc:0.786189
[53]	validation_0-auc:0.786563
[54]	validation_0-auc:0.786836
[55]	validation_0-auc:0.787218
[56]	validation_0-auc:0.787184
[57]	validation_0-auc:0.787496
[58]	validation_0-auc:0.787631
[59]	validation_0-auc:0.788058
[60]	validation_0-auc:0.788511
[61]	validation_0-auc:0.788702
[62]	validation_0-auc:0.788881
[63]	validation_0-auc:0.788853
[64]	validation_0-auc:0.789184
[65]	validation_0-auc:0.789177
[66]	validation_0-auc:0.789613
[67]	validation_0-auc:0.789751
[68]	validation_0-auc:0.789989
[69]	validation_0-auc:0.790324
[70]	validation_0-auc:0.790645
[71]	validation_0-auc:0.790985
[72]	validation_0-auc:0.791139
[73]	validation_0-auc:0.791347
[74]	validation_0-auc:0.791530
[75]	validation_0-auc:0.791708
[76]	validation_0-auc:0.791759
