Will train until validation_0 error hasn't decreased in 25 rounds.
[0]	validation_0-mlogloss:3.111896
[1]	validation_0-mlogloss:2.823106
[2]	validation_0-mlogloss:2.640148
[3]	validation_0-mlogloss:2.498616
[4]	validation_0-mlogloss:2.381261
[5]	validation_0-mlogloss:2.274409
[6]	validation_0-mlogloss:2.185659
[7]	validation_0-mlogloss:2.103021
[8]	validation_0-mlogloss:2.018078
[9]	validation_0-mlogloss:1.961306
[10]	validation_0-mlogloss:1.921567
[11]	validation_0-mlogloss:1.855781
[12]	validation_0-mlogloss:1.823184
[13]	validation_0-mlogloss:1.792249
[14]	validation_0-mlogloss:1.757737
[15]	validation_0-mlogloss:1.733608
[16]	validation_0-mlogloss:1.695899
[17]	validation_0-mlogloss:1.664757
[18]	validation_0-mlogloss:1.646132
[19]	validation_0-mlogloss:1.634547
[20]	validation_0-mlogloss:1.614651
[21]	validation_0-mlogloss:1.585663
[22]	validation_0-mlogloss:1.566547
[23]	validation_0-mlogloss:1.536082
[24]	validation_0-mlogloss:1.515306
[25]	validation_0-mlogloss:1.513092
[26]	validation_0-mlogloss:1.494757
[27]	validation_0-mlogloss:1.497492
[28]	validation_0-mlogloss:1.499959
[29]	validation_0-mlogloss:1.494776
[30]	validation_0-mlogloss:1.480596
[31]	validation_0-mlogloss:1.461431
[32]	validation_0-mlogloss:1.448742
[33]	validation_0-mlogloss:1.442243
[34]	validation_0-mlogloss:1.427605
[35]	validation_0-mlogloss:1.407838
[36]	validation_0-mlogloss:1.394919
[37]	validation_0-mlogloss:1.392197
[38]	validation_0-mlogloss:1.403346
[39]	validation_0-mlogloss:1.407904
[40]	validation_0-mlogloss:1.407984
[41]	validation_0-mlogloss:1.394252
[42]	validation_0-mlogloss:1.380049
[43]	validation_0-mlogloss:1.367054
[44]	validation_0-mlogloss:1.367864
[45]	validation_0-mlogloss:1.373355
[46]	validation_0-mlogloss:1.377607
[47]	validation_0-mlogloss:1.365200
[48]	validation_0-mlogloss:1.356170
[49]	validation_0-mlogloss:1.345169
[50]	validation_0-mlogloss:1.335517
[51]	validation_0-mlogloss:1.364387
[52]	validation_0-mlogloss:1.353865
[53]	validation_0-mlogloss:1.361253
[54]	validation_0-mlogloss:1.362630
[55]	validation_0-mlogloss:1.367610
[56]	validation_0-mlogloss:1.372432
[57]	validation_0-mlogloss:1.362108
[58]	validation_0-mlogloss:1.385733
[59]	validation_0-mlogloss:1.377582
[60]	validation_0-mlogloss:1.368180
[61]	validation_0-mlogloss:1.402698
[62]	validation_0-mlogloss:1.414600
[63]	validation_0-mlogloss:1.453634
[64]	validation_0-mlogloss:1.489854
[65]	validation_0-mlogloss:1.483437
[66]	validation_0-mlogloss:1.521193
[67]	validation_0-mlogloss:1.514225
[68]	validation_0-mlogloss:1.547735
[69]	validation_0-mlogloss:1.572885
[70]	validation_0-mlogloss:1.610157
[71]	validation_0-mlogloss:1.655740
[72]	validation_0-mlogloss:1.673261
[73]	validation_0-mlogloss:1.682943
[74]	validation_0-mlogloss:1.717520
[75]	validation_0-mlogloss:1.753506
Stopping. Best iteration:
[50]	validation_0-mlogloss:1.335517

